year,mwt.0,mwt.1,mwt.2,ot.0,ot.1,ot.2
1980.00,190790.07,1385.91,2572.00,128320.80,141.61,105.99
1981.00,1958.59,51371.79,644.36,4139.01,11836.55,121.63
1982.00,299068.94,9785.46,2306.92,257965.49,3069.60,1004.80
1983.00,33650.75,296253.02,2865.15,23859.54,142861.16,917.15
1984.00,29218.17,25462.78,4081.80,44329.01,29399.22,5766.62
1985.00,2894.55,58525.27,2693.45,11786.91,12626.31,1184.98
1986.00,24908.27,12523.55,2479.18,12069.60,2784.07,287.91
1987.00,2872.32,33470.82,2286.52,1983.61,7173.65,1284.11
1988.00,1723.95,18360.04,4920.87,1093.89,4322.59,2220.23
1989.00,1136.67,6594.53,1514.13,970.61,2178.78,368.73
1990.00,744.53,2776.18,1058.39,680.60,385.69,316.56
1991.00,131.10,3851.65,540.74,244.87,473.81,160.54
1992.00,369.92,1133.86,86.01,620.22,447.50,218.26
1993.00,5085.67,810.81,22.44,7006.01,53.33,0.00
1994.00,NA,16515.50,348.98,2847.20,4206.85,479.06
1995.00,555398.09,NA,NA,152972.95,791.02,503.91
1996.00,666.34,NA,NA,11045.48,4152.85,247.85
1997.00,4585.34,6862.79,1788.75,10691.61,3705.82,1075.27
1998.00,62852.83,6240.38,1120.24,20605.12,196.66,89.03
1999.00,59040.32,17545.61,894.97,57979.80,6827.41,600.37
2000.00,12325.77,12132.09,1168.16,16079.18,1841.49,240.42
2001.00,2107.41,10706.86,1154.12,812.00,15507.11,1162.85
2002.00,1172.55,2471.51,1899.74,18132.41,1069.76,1604.28
2003.00,230.37,2557.63,185.64,4006.87,6338.84,1291.73
2004.00,1307.10,2030.22,485.52,3529.10,4322.92,885.86
2005.00,617.27,3487.35,544.71,8459.09,4074.37,593.28
2006.00,2779.75,1341.94,91.12,21516.78,1378.63,284.66
2007.00,441.29,1350.89,78.92,3636.46,5155.94,814.91
2008.00,1207.31,217.58,229.57,6154.84,343.41,177.52
2009.00,322.55,3485.07,75.23,970.81,10317.02,469.50
2010.00,867.10,598.91,114.39,628.31,1373.23,279.80
2011.00,1404.45,950.38,106.16,14261.46,7134.49,503.30
2012.00,397.52,5353.03,1105.61,2170.18,839.91,359.90
2013.00,1445.00,647.00,324.00,15545.00,574.00,277.00
2014.00,1193.73,615.48,0.00,1228.42,518.65,63.09
2015.00,230.83,402.93,43.64,536.19,692.61,195.73
2016.00,NA,NA,NA,NA,NA,NA
2017.00,NA,NA,NA,NA,NA,NA
